Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Port of Administration Authority,Pago Pago,AS,91004,State Government Unit or Department of Transportation,Rural Reporter,2022,,,,2,FB,Ferryboat,DO,2,0,,0,,0,,0,,949550,,949550,,0,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,10019,HR,Heavy Rail,DO,5410,1613580482,,997007541,,2147369235,,591798903,,0,,5349756161,,0,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,10019,MB,Bus,DO,3217,1806071236,,518580927,,177161750,,395195747,,0,,2897009660,,0,
Lower Elwha Klallam Tribe,Port Angeles,WA,401,Tribe,Reduced Reporter,2022,53,Washington Non-UZA,1895776,1,MB,Bus,DO,1,0,,0,,0,,0,,34347,,34347,,0,
Phelps County Senior Citizen,Holdrege,NE,70182,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,135053,,135053,,0,
City of Ojai,Ojai,CA,91058,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,MB,Bus,DO,2,0,,0,,0,,0,,733466,,733466,,0,
Commmunity Memorial Health Center Burwell,Burwell,NE,70113,Private-Non-Profit Corporation,Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,44535,,44535,,0,
Herington Hilltop Community Center,Herington,KS,70120,Private-Non-Profit Corporation,Rural Reporter,2022,,,,1,DR,Demand Response,DO,1,0,,0,,0,,0,,20501,,20501,,0,
City of Phillipsburg,Phillipsburg,KS,70191,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,73280,,73280,,0,
Municipality of Aguada,Aguada,PR,40114,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,631,"Aguadilla--Isabela--San Sebastián, PR",232573,2,DR,Demand Response,DO,2,0,,0,,0,,0,,32367,,32367,,0,
