DATE,SMU36935610500000003
2007-01-01,27.93
2007-02-01,27.79
2007-03-01,27.62
2007-04-01,28.09
2007-05-01,27.69
2007-06-01,27.87
2007-07-01,28.48
2007-08-01,28.21
2007-09-01,28.34
2007-10-01,28.09
2007-11-01,28.13
2007-12-01,29.28
2008-01-01,30.19
2008-02-01,30.35
2008-03-01,30.37
2008-04-01,30.09
2008-05-01,30.09
2008-06-01,30.23
2008-07-01,30.33
2008-08-01,30.51
2008-09-01,30.45
2008-10-01,30.17
2008-11-01,30.40
2008-12-01,30.11
2009-01-01,30.15
2009-02-01,30.14
2009-03-01,30.17
2009-04-01,29.83
2009-05-01,29.79
2009-06-01,29.92
2009-07-01,29.88
2009-08-01,30.11
2009-09-01,30.11
2009-10-01,30.05
2009-11-01,30.41
2009-12-01,30.26
2010-01-01,30.46
2010-02-01,30.48
2010-03-01,30.21
2010-04-01,30.41
2010-05-01,30.66
2010-06-01,30.24
2010-07-01,30.33
2010-08-01,30.45
2010-09-01,30.12
2010-10-01,30.37
2010-11-01,30.50
2010-12-01,30.61
2011-01-01,30.95
2011-02-01,30.64
2011-03-01,30.77
2011-04-01,30.73
2011-05-01,31.22
2011-06-01,30.72
2011-07-01,30.72
2011-08-01,30.76
2011-09-01,31.05
2011-10-01,31.41
2011-11-01,30.96
2011-12-01,31.01
2012-01-01,31.68
2012-02-01,31.27
2012-03-01,31.28
2012-04-01,31.74
2012-05-01,31.10
2012-06-01,31.11
2012-07-01,31.57
2012-08-01,31.31
2012-09-01,31.60
2012-10-01,31.40
2012-11-01,31.64
2012-12-01,32.16
2013-01-01,32.14
2013-02-01,31.92
2013-03-01,31.79
2013-04-01,31.92
2013-05-01,31.73
2013-06-01,32.18
2013-07-01,32.08
2013-08-01,31.91
2013-09-01,32.36
2013-10-01,31.92
2013-11-01,32.00
2013-12-01,32.47
2014-01-01,32.17
2014-02-01,32.62
2014-03-01,32.59
2014-04-01,32.45
2014-05-01,32.37
2014-06-01,32.93
2014-07-01,32.45
2014-08-01,32.24
2014-09-01,32.54
2014-10-01,32.90
2014-11-01,33.70
2014-12-01,33.04
2015-01-01,33.60
2015-02-01,33.99
2015-03-01,33.95
2015-04-01,33.75
2015-05-01,33.43
2015-06-01,33.36
2015-07-01,33.35
2015-08-01,33.93
2015-09-01,33.62
2015-10-01,33.54
2015-11-01,34.24
2015-12-01,33.50
2016-01-01,33.86
2016-02-01,34.13
2016-03-01,33.68
2016-04-01,33.36
2016-05-01,33.94
2016-06-01,33.21
2016-07-01,33.65
2016-08-01,34.37
2016-09-01,34.07
2016-10-01,34.70
2016-11-01,34.12
2016-12-01,33.97
2017-01-01,35.12
2017-02-01,35.03
2017-03-01,34.92
2017-04-01,35.57
2017-05-01,34.89
2017-06-01,34.73
2017-07-01,35.40
2017-08-01,34.59
2017-09-01,34.87
2017-10-01,35.65
2017-11-01,35.29
2017-12-01,35.57
2018-01-01,35.81
2018-02-01,35.89
2018-03-01,35.79
2018-04-01,36.37
2018-05-01,35.73
2018-06-01,35.73
2018-07-01,36.62
2018-08-01,35.95
2018-09-01,36.56
2018-10-01,36.39
2018-11-01,36.62
2018-12-01,37.28
2019-01-01,37.39
2019-02-01,37.66
2019-03-01,37.21
2019-04-01,37.35
2019-05-01,37.35
2019-06-01,37.98
2019-07-01,37.22
2019-08-01,37.45
2019-09-01,38.20
2019-10-01,37.80
2019-11-01,38.10
2019-12-01,38.81
2020-01-01,38.30
2020-02-01,38.85
2020-03-01,38.43
2020-04-01,40.08
2020-05-01,38.43
2020-06-01,38.11
2020-07-01,38.32
2020-08-01,39.21
2020-09-01,38.68
2020-10-01,38.64
2020-11-01,39.57
2020-12-01,39.50
2021-01-01,40.30
2021-02-01,40.40
2021-03-01,40.09
2021-04-01,40.63
2021-05-01,41.56
2021-06-01,40.80
2021-07-01,40.77
2021-08-01,41.23
2021-09-01,40.41
2021-10-01,41.09
2021-11-01,40.58
2021-12-01,40.97
2022-01-01,41.86
2022-02-01,41.38
2022-03-01,41.39
2022-04-01,40.91
2022-05-01,41.29
2022-06-01,40.71
2022-07-01,41.07
2022-08-01,41.16
2022-09-01,41.43
2022-10-01,42.34
2022-11-01,41.71
2022-12-01,41.79
2023-01-01,42.43
2023-02-01,42.08
2023-03-01,41.72
2023-04-01,42.71
2023-05-01,41.66
2023-06-01,41.49
2023-07-01,42.53
2023-08-01,41.50
2023-09-01,41.66
2023-10-01,41.89
2023-11-01,41.56
2023-12-01,41.86
2024-01-01,42.50
2024-02-01,42.33
2024-03-01,42.11
2024-04-01,41.99
2024-05-01,42.02
2024-06-01,43.09
2024-07-01,42.11
2024-08-01,42.02
2024-09-01,43.05
2024-10-01,42.52
