DATE,BAMLHYH0A0HYM2TRIV
2019-11-30,1382.49
2019-12-02,1381.41
2019-12-03,1380.33
2019-12-04,1383.85
2019-12-05,1384.90
2019-12-06,1388.17
2019-12-09,1389.36
2019-12-10,1391.08
2019-12-11,1392.78
2019-12-12,1396.45
2019-12-13,1399.53
2019-12-16,1402.38
2019-12-17,1405.24
2019-12-18,1408.24
2019-12-19,1408.71
2019-12-20,1409.11
2019-12-23,1409.71
2019-12-24,1409.81
2019-12-25,.
2019-12-26,1410.48
2019-12-27,1411.07
2019-12-30,1411.36
2019-12-31,1411.39
2020-01-01,.
2020-01-02,1413.29
2020-01-03,1414.29
2020-01-06,1415.42
2020-01-07,1416.35
2020-01-08,1416.39
2020-01-09,1416.95
2020-01-10,1417.96
2020-01-13,1419.05
2020-01-14,1420.18
2020-01-15,1421.02
2020-01-16,1421.89
2020-01-17,1422.10
2020-01-20,1422.82
2020-01-21,1421.73
2020-01-22,1421.25
2020-01-23,1418.26
2020-01-24,1416.08
2020-01-27,1407.36
2020-01-28,1412.98
2020-01-29,1414.52
2020-01-30,1411.52
2020-01-31,1411.45
2020-02-03,1412.63
2020-02-04,1415.39
2020-02-05,1418.19
2020-02-06,1420.64
2020-02-07,1420.33
2020-02-10,1420.65
2020-02-11,1424.82
2020-02-12,1426.42
2020-02-13,1427.15
2020-02-14,1427.35
2020-02-17,1428.07
2020-02-18,1427.36
2020-02-19,1428.90
2020-02-20,1429.08
2020-02-21,1428.24
2020-02-24,1417.92
2020-02-25,1414.54
2020-02-26,1411.77
2020-02-27,1399.11
2020-02-28,1389.09
2020-02-29,1389.57
2020-03-02,1396.03
2020-03-03,1404.37
2020-03-04,1411.61
2020-03-05,1403.20
2020-03-06,1383.25
2020-03-09,1333.31
2020-03-10,1337.71
2020-03-11,1321.70
2020-03-12,1278.05
2020-03-13,1282.37
2020-03-16,1237.61
2020-03-17,1226.31
2020-03-18,1183.48
2020-03-19,1152.98
2020-03-20,1147.08
2020-03-23,1121.21
2020-03-24,1132.92
2020-03-25,1152.69
2020-03-26,1191.63
2020-03-27,1208.84
2020-03-30,1218.44
2020-03-31,1226.17
2020-04-01,1210.31
2020-04-02,1206.53
2020-04-03,1196.36
2020-04-06,1201.00
2020-04-07,1216.87
2020-04-08,1220.85
2020-04-09,1259.48
2020-04-10,.
2020-04-13,1276.52
2020-04-14,1289.41
2020-04-15,1282.51
2020-04-16,1283.50
2020-04-17,1291.96
2020-04-20,1286.05
2020-04-21,1269.97
2020-04-22,1270.09
2020-04-23,1268.63
2020-04-24,1262.53
2020-04-27,1261.55
2020-04-28,1263.15
