DATE,BOGZ1FL634022405Q
1945-10-01,0.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,0.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,0.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,0.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,0.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,0.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,0.0
1952-01-01,0.0
1952-04-01,0.0
1952-07-01,0.0
1952-10-01,0.0
1953-01-01,0.0
1953-04-01,0.0
1953-07-01,0.0
1953-10-01,0.0
1954-01-01,0.0
1954-04-01,0.0
1954-07-01,0.0
1954-10-01,0.0
1955-01-01,0.0
1955-04-01,0.0
1955-07-01,0.0
1955-10-01,0.0
1956-01-01,0.0
1956-04-01,0.0
1956-07-01,0.0
1956-10-01,0.0
1957-01-01,0.0
1957-04-01,0.0
1957-07-01,0.0
1957-10-01,0.0
1958-01-01,0.0
1958-04-01,0.0
1958-07-01,0.0
1958-10-01,0.0
1959-01-01,0.0
1959-04-01,0.0
1959-07-01,0.0
1959-10-01,0.0
1960-01-01,0.0
1960-04-01,0.0
1960-07-01,0.0
1960-10-01,0.0
1961-01-01,0.0
1961-04-01,0.0
1961-07-01,0.0
1961-10-01,0.0
1962-01-01,0.0
1962-04-01,0.0
1962-07-01,0.0
1962-10-01,0.0
1963-01-01,0.0
1963-04-01,0.0
1963-07-01,0.0
1963-10-01,0.0
1964-01-01,0.0
1964-04-01,0.0
1964-07-01,0.0
1964-10-01,0.0
1965-01-01,0.0
1965-04-01,0.0
1965-07-01,0.0
1965-10-01,0.0
1966-01-01,0.0
1966-04-01,0.0
1966-07-01,0.0
1966-10-01,0.0
1967-01-01,0.0
1967-04-01,0.0
1967-07-01,0.0
1967-10-01,0.0
1968-01-01,0.0
1968-04-01,0.0
1968-07-01,0.0
1968-10-01,0.0
1969-01-01,0.0
1969-04-01,0.0
1969-07-01,0.0
1969-10-01,0.0
1970-01-01,0.0
1970-04-01,0.0
1970-07-01,0.0
1970-10-01,0.0
1971-01-01,0.0
1971-04-01,0.0
1971-07-01,0.0
1971-10-01,0.0
1972-01-01,0.0
1972-04-01,0.0
1972-07-01,0.0
1972-10-01,0.0
1973-01-01,0.0
1973-04-01,0.0
1973-07-01,0.0
1973-10-01,0.0
1974-01-01,185.0
1974-04-01,353.0
1974-07-01,578.0
1974-10-01,645.0
1975-01-01,1050.0
1975-04-01,788.0
1975-07-01,738.0
1975-10-01,528.0
1976-01-01,714.0
1976-04-01,837.0
1976-07-01,772.0
1976-10-01,844.0
1977-01-01,824.0
1977-04-01,927.0
1977-07-01,916.0
1977-10-01,1064.0
1978-01-01,1505.0
1978-04-01,2304.0
1978-07-01,2683.0
1978-10-01,3652.0
1979-01-01,7012.0
1979-04-01,10684.0
1979-07-01,13471.0
1979-10-01,19298.0
1980-01-01,26145.0
1980-04-01,36314.0
1980-07-01,32261.0
1980-10-01,31561.0
1981-01-01,46244.0
1981-04-01,55351.0
1981-07-01,71137.0
1981-10-01,70399.0
1982-01-01,73065.0
1982-04-01,78219.0
1982-07-01,74799.0
1982-10-01,69112.0
1983-01-01,61832.0
1983-04-01,66325.0
1983-07-01,68790.0
1983-10-01,66161.0
1984-01-01,92358.0
1984-04-01,90298.0
1984-07-01,95587.0
1984-10-01,118230.0
1985-01-01,116414.0
1985-04-01,127934.0
1985-07-01,119843.0
1985-10-01,119577.0
1986-01-01,126344.0
1986-04-01,124899.0
1986-07-01,135156.0
1986-10-01,125729.0
1987-01-01,120723.0
1987-04-01,116919.0
1987-07-01,119250.0
1987-10-01,116120.0
1988-01-01,123758.0
1988-04-01,124615.0
1988-07-01,122872.0
1988-10-01,134674.0
1989-01-01,155577.0
1989-04-01,166439.0
1989-07-01,180453.0
1989-10-01,195215.0
1990-01-01,227692.0
1990-04-01,208882.0
1990-07-01,230302.0
1990-10-01,234508.0
1991-01-01,251322.0
1991-04-01,237174.0
1991-07-01,235861.0
1991-10-01,242229.0
1992-01-01,254159.0
1992-04-01,243955.0
1992-07-01,233535.0
1992-10-01,224180.0
1993-01-01,222835.0
1993-04-01,220591.0
1993-07-01,205344.0
1993-10-01,220307.0
1994-01-01,211649.0
1994-04-01,215461.0
1994-07-01,219782.0
1994-10-01,236847.0
1995-01-01,253271.0
1995-04-01,270622.0
1995-07-01,263343.0
1995-10-01,283058.0
1996-01-01,300356.0
1996-04-01,313348.0
1996-07-01,320764.0
1996-10-01,322524.0
1997-01-01,348187.0
1997-04-01,344965.0
1997-07-01,356305.0
1997-10-01,383953.0
1998-01-01,416357.0
1998-04-01,432674.0
1998-07-01,441957.0
1998-10-01,471952.0
1999-01-01,528825.0
1999-04-01,509430.0
1999-07-01,537094.0
1999-10-01,598228.0
2000-01-01,644990.0
2000-04-01,606913.0
2000-07-01,653737.0
2000-10-01,696619.0
2001-01-01,731840.0
2001-04-01,714438.0
2001-07-01,746129.0
2001-10-01,752154.0
2002-01-01,738775.0
2002-04-01,708943.0
2002-07-01,659901.0
2002-10-01,732019.0
2003-01-01,675733.0
2003-04-01,643443.0
2003-07-01,599075.0
2003-10-01,581701.0
2004-01-01,541795.0
2004-04-01,500754.0
2004-07-01,485618.0
2004-10-01,498692.0
2005-01-01,496950.0
2005-04-01,502030.0
2005-07-01,509559.0
2005-10-01,570529.0
2006-01-01,559686.0
2006-04-01,574037.0
2006-07-01,616536.0
2006-10-01,678670.0
2007-01-01,710335.0
2007-04-01,715194.0
2007-07-01,753195.0
2007-10-01,828116.0
2008-01-01,926899.0
2008-04-01,899668.0
2008-07-01,920571.0
2008-10-01,1122460.0
2009-01-01,1040981.0
2009-04-01,949978.0
2009-07-01,869031.0
2009-10-01,845640.0
2010-01-01,764593.0
2010-04-01,670675.0
2010-07-01,627401.0
2010-10-01,749986.0
2011-01-01,742983.0
2011-04-01,701667.0
2011-07-01,682630.0
2011-10-01,704208.0
2012-01-01,756704.0
2012-04-01,677154.0
2012-07-01,686558.0
2012-10-01,741321.0
2013-01-01,770848.0
2013-04-01,712897.0
2013-07-01,757981.0
2013-10-01,783110.0
2014-01-01,775234.0
2014-04-01,639875.0
2014-07-01,699381.0
2014-10-01,679646.0
2015-01-01,685580.0
2015-04-01,653979.0
2015-07-01,629417.0
2015-10-01,633597.0
2016-01-01,695751.0
2016-04-01,566101.0
2016-07-01,499399.0
2016-10-01,597029.0
2017-01-01,585570.0
2017-04-01,525587.0
2017-07-01,610638.0
2017-10-01,704494.0
2018-01-01,916679.0
2018-04-01,757370.0
2018-07-01,816875.0
2018-10-01,879171.0
2019-01-01,1000073.0
2019-04-01,858780.0
2019-07-01,1032946.0
2019-10-01,999563.0
2020-01-01,1159300.0
2020-04-01,2440507.0
2020-07-01,2361929.0
2020-10-01,2307508.0
2021-01-01,2374695.0
2021-04-01,2020156.0
2021-07-01,1380306.0
2021-10-01,1423329.0
2022-01-01,1388512.0
2022-04-01,1123605.0
2022-07-01,1012355.0
2022-10-01,855850.0
2023-01-01,915722.0
2023-04-01,1151652.0
2023-07-01,1715746.0
2023-10-01,2167840.0
2024-01-01,2451979.0
2024-04-01,2259625.0
